course_code,course_name,section_code,lecturer_code,required_sessions,weekly_sessions,periods_per_session,second_session_periods,expected_students,initial_registration_limit,approved_max_students,scheduling_student_count,course_type,required_room_type,start_date,end_date,campus_code,notes
IT101,Nhập môn lập trình,IT101_01,GV001,15,1,3,,45,50,50,50,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT102,Kỹ thuật lập trình,IT102_01,GV002,15,1,5,,36,41,,41,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT103,Cấu trúc dữ liệu và giải thuật,IT103_01,GV003,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT104,Cơ sở dữ liệu,IT104_01,GV004,15,1,5,,38,43,,43,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT105,Hệ quản trị cơ sở dữ liệu,IT105_01,GV005,15,1,6,,39,44,,44,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT106,Mạng máy tính,IT106_01,GV006,15,1,3,,50,55,55,55,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT107,An toàn thông tin,IT107_01,GV007,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT108,Phân tích thiết kế hệ thống,IT108_01,GV008,15,1,3,,52,57,,57,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT109,Công nghệ phần mềm,IT109_01,GV009,15,1,5,,43,48,,48,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT110,Kiểm thử phần mềm,IT110_01,GV010,15,1,5,,44,49,,49,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT111,Lập trình web,IT111_01,GV011,15,1,5,,35,40,40,40,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT112,Phát triển ứng dụng di động,IT112_01,GV012,15,1,6,,36,41,,41,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT113,Trí tuệ nhân tạo,IT113_01,GV013,15,1,3,,45,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT114,Học máy,IT114_01,GV014,15,1,5,,38,43,,43,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT115,Khai phá dữ liệu,IT115_01,GV015,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT116,Điện toán đám mây,IT116_01,GV016,15,1,3,,48,53,53,53,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT117,DevOps và triển khai phần mềm,IT117_01,GV017,15,1,5,,41,46,,46,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT118,Thiết kế giao diện người dùng,IT118_01,GV018,15,1,5,,42,47,,47,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT119,Hệ điều hành,IT119_01,GV019,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT120,Kiến trúc máy tính,IT120_01,GV020,15,1,3,,52,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT121,Xử lý ảnh số,IT121_01,GV001,15,1,5,,36,41,41,41,PRACTICE,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT122,Internet vạn vật,IT122_01,GV002,15,1,6,,37,42,,42,INTEGRATED,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT123,Phân tích dữ liệu kinh doanh,IT123_01,GV003,15,1,3,,55,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
